#vuds_ident alpha delta id_iau id_candels z_spec zflags magi model age age_loweff1sig age_higheff1sig log_stellar_mass stellar_mass_loweff1sig stellar_mass_higheff1sig log_star_formation_rate star_formation_rate_loweff1sig star_formation_rate_higheff1sig log_specific_sfr specific_sfr_loweff1sig specific_sfr_higheff1sig m_k k ek z_1a ra dec flag
5101221959 150.18200684 2.45766497 VUDS-J100043.67+022727.5 22782 0.7457 3 23.906 11 494989000 301755000 877936000 8.63761 8.55068 8.72788 0.147079 -0.000897224 0.34908 -8.49177 -8.71506 -8.2234 -18.95 24.214 0.247 0.7457 150.18200684 2.45766497 3
5101224037 150.19776917 2.44340301 VUDS-J100047.46+022636.2 21746 3.2905 2 23.9 11 50119300 46344900 54201100 9.39967 9.36544 9.4339 2.08191 2.01344 2.16099 -7.30002 -7.36803 -7.232 -21.44 23.296 0.093 3.2905 150.19776917 2.44340301 2
5101224872 150.15127563 2.4380331 VUDS-J100036.30+022616.9 21370 0.4754 4 24.191 2 906757000 444583000 1762660000 8.2718 8.18185 8.36263 -0.626568 -0.814123 -0.437878 -8.9147 -9.12677 -8.67519 -18.056 23.608 0.114 0.4754 150.15127563 2.4380331 4
5101225517 150.17532349 2.43214798 VUDS-J100042.07+022555.7 20918 1.9994 2 24.073 1 372301000 181633000 675018000 9.47314 9.33986 9.5939 1.10838 0.907823 1.26733 -8.37822 -8.63918 -8.10654 -21.523 23.949 0.141 1.9994 150.17532349 2.43214798 2
5101225909 150.173 2.42979 VUDS-J100041.60+022547.2 -99.9 2.9054 1 25.521 9 789763000 326566000 1493170000 9.40761 9.1262 9.60621 0.675714 0.536472 0.870508 -8.72094 -9.01405 -8.31178 -20.64 -99.9 -99.9 2.9054 150.173 2.42979 1
5101225910 150.17193604 2.42977905 VUDS-J100041.26+022547.2 20712 0.5848 29 25.276 2 53582600 47346500 126797000 7.81986 7.72003 7.91604 0.123202 -0.0135466 0.237856 -7.65653 -7.87745 -7.54323 -18.187 23.911 0.149 0.5848 150.17193604 2.42977905 29
5101225912 150.17271423 2.42967606 VUDS-J100041.45+022546.8 20715 2.2246 2 24.823 2 310318000 122894000 590597000 9.32068 9.11375 9.48513 1.01181 0.859278 1.22248 -8.30235 -8.58983 -7.92799 -21.055 24.264 0.197 2.2246 150.17271423 2.42967606 2
5101226001 150.18927002 2.42783308 VUDS-J100045.42+022540.1 20579 3.7327 3 24.923 5 720981000 345279000 1234700000 9.77366 9.58303 9.93025 1.10317 0.96439 1.2883 -8.67384 -8.9116 -8.3468 -21.564 24.102 0.177 3.7327 150.18927002 2.42783308 3
5101226251 150.15718079 2.42786694 VUDS-J100037.72+022540.3 20598 3.9888 3 24.321 5 668193000 364251000 1077100000 9.99252 9.84059 10.1256 1.35514 1.24089 1.50658 -8.63885 -8.83059 -8.38183 -22.326 23.628 0.124 3.9888 150.15718079 2.42786694 3
5101226708 150.18345642 2.42490411 VUDS-J100044.02+022529.6 20394 4.0300 2 24.914 5 298525000 129809000 596247000 10.0922 9.91163 10.2468 1.8251 1.62864 2.04126 -8.24658 -8.58652 -7.92401 -22.891 23.604 0.123 4.03 150.18345642 2.42490411 2
