#vuds_ident alpha delta spmask_obs quad slit obj det meanflux sn maxdel rmsdel z_spec zflags id_iau id_candels magi
5100998496 150.20501709 2.26216006 F51P006 2 81 1 OK 0.394 0.805 0.496 0.274 3.8979 4 VUDS-J100049.20+021543.7 6868 24.484
511027638  150.05224609 2.23746991 F51P005 1 21 1 OK 5.780 3.897 1.725 0.791 1.2459 23 VUDS-J100012.53+021414.8 4982 23.674
511265048  150.05186462 2.33257508 F51P005 1 22 1 OK 1.663 1.368 1.586 0.982 3.3703 3 VUDS-J100012.44+021957.2 12756 24.734
511023255  150.05335999 2.26690197 F51P005 1 23 1 OK 0.632 1.214 1.226 0.693 3.1817 1 VUDS-J100012.80+021600.8 7347 24.405
511263274  150.05322266 2.33562589 F51P005 1 24 1 OK 1.930 2.029 0.986 0.585 2.6967 3 VUDS-J100012.77+022008.2 12992 24.344
511260418  150.05490112 2.36191511 F51P005 1 26 1 OK 1.321 1.792 1.549 0.671 2.5183 2 VUDS-J100013.17+022142.8 15309 24.787
511002175  150.06440735 2.23668909 F51P005 1 31 1 OK 19.566 5.789 1.378 0.707 0.2079 24 VUDS-J100015.45+021412.0 5141 20.915
511002172  150.06344604 2.237046 F51P005 1 31 2 OK 0.238 0.714 1.378 0.707 2.2831 1 VUDS-J100015.22+021413.3 4935 24.498
510998294  150.06561279 2.26153398 F51P005 1 33 1 OK 0.164 0.395 1.133 0.541 3.8873 21 VUDS-J100015.74+021541.5 6821 25.810
511238602  150.06562805 2.34247398 F51P005 1 34 1 OK 3.249 2.193 1.785 0.759 2.7648 2 VUDS-J100015.75+022032.9 13612 24.785
511239330  150.06770325 2.33478904 F51P005 1 36 1 OK 0.325 0.598 2.134 1.063 4.3008 2 VUDS-J100016.24+022005.2 12959 24.229
511001230  150.0700531 2.24267101 F51P005 1 37 1 OK 2.777 1.453 0.538 0.359 1.8147 2 VUDS-J100016.81+021433.6 5401 24.854
511244275  150.07060242 2.3052249 F51P005 1 38 1 OK 1.283 1.548 1.256 0.745 2.9387 1 VUDS-J100016.94+021818.8 10540 24.303
511237363  150.07060242 2.35480189 F51P005 1 39 1 OK 0.976 0.958 1.601 0.806 3.6097 2 VUDS-J100016.94+022117.2 14624 24.226
511001461  150.07292175 2.24274397 F51P005 1 40 1 OK 4.663 2.332 1.541 0.871 2.6986 4 VUDS-J100017.50+021433.8 5461 24.059
510994594  150.07244873 2.28263903 F51P005 1 41 1 OK 1.793 0.627 1.436 0.928 3.2950 4 VUDS-J100017.38+021657.5 8577 24.581
511240736  150.07281494 2.3283999 F51P005 1 42 1 OK 0.960 1.121 1.929 0.982 0.3412 1 VUDS-J100017.47+021942.2 12437 24.570
511243738  150.07435608 2.3050561 F51P005 1 43 1 OK 0.001 0.169 1.255 0.879 5.1874 9 VUDS-J100017.84+021818.2 32480 24.557
511001423  150.08062744 2.24284291 F51P005 1 49 1 OK 4.066 1.414 2.807 1.205 2.4416 4 VUDS-J100019.34+021434.2 5437 23.826
510317133  150.08006287 2.29917598 F51P005 1 50 1 OK 2.799 1.345 1.242 0.683 2.9380 4 VUDS-J100019.21+021757.0 9996 24.577
510998698  150.08221436 2.26106691 F51P005 1 52 2 OK 0.001 0.100 1.077 0.695 4.0651 9 VUDS-J100019.73+021539.8 6772 24.961
511239956  150.08209229 2.33358097 F51P005 1 53 1 OK 6.546 4.628 1.240 0.665 1.9255 4 VUDS-J100019.70+022000.8 12862 23.652
510997797  150.08421326 2.26633406 F51P005 1 54 1 OK 2.521 2.447 1.350 0.748 0.2837 4 VUDS-J100020.21+021558.8 7235 24.547
510999024  150.08534241 2.25742888 F51P005 1 56 1 OK 1.646 1.650 1.363 0.623 0.9248 22 VUDS-J100020.48+021526.7 6746 22.272
510999013  150.08616638 2.25785398 F51P005 1 56 2 OK 0.647 1.130 1.363 0.623 3.0338 4 VUDS-J100020.68+021528.2 6543 24.635
510998490  150.0881958 2.26057196 F51P005 1 57 1 OK 1.161 1.169 1.002 0.518 3.0043 1 VUDS-J100021.16+021538.0 6760 24.904
511236742  150.0880127 2.35035706 F51P005 1 58 1 OK 2.831 1.592 1.485 0.679 2.5558 4 VUDS-J100021.12+022101.2 14299 23.809
510999647  150.09089661 2.25502706 F51P005 1 59 1 OK 1.746 1.454 1.433 0.616 0.2820 2 VUDS-J100021.81+021518.0 6359 24.994
511244334  150.08956909 2.29800701 F51P005 1 60 1 OK 1.502 0.715 1.613 0.85 3.8322 2 VUDS-J100021.49+021752.8 9866 24.386
511236775  150.09208679 2.35133791 F51P005 1 64 1 OK 1.040 1.428 1.045 0.532 2.9162 4 VUDS-J100022.09+022104.8 14321 24.602
510998000  150.09388733 2.26566195 F51P005 1 65 1 OK 2.748 2.028 0.540 0.300 2.0978 2 VUDS-J100022.53+021556.3 7201 24.867
511244572  150.09376526 2.30411506 F51P005 1 66 1 OK 2.506 2.160 1.144 0.645 1.8921 2 VUDS-J100022.50+021814.8 10446 24.823
511001467  150.09524536 2.24233699 F51P005 1 67 1 OK 2.801 2.018 1.072 0.475 2.0970 3 VUDS-J100022.85+021432.4 5382 24.434
510994477  150.09535217 2.28722692 F51P005 1 68 1 OK 2.114 1.783 1.158 0.555 1.8256 1 VUDS-J100022.88+021714.0 8991 24.882
511240861  150.09550476 2.32737803 F51P005 1 69 1 OK 0.784 1.147 1.578 0.811 0.3493 3 VUDS-J100022.92+021938.5 12351 24.720
510999708  150.09768677 2.25563002 F51P005 1 70 1 OK 1.409 1.380 0.903 0.523 3.5575 2 VUDS-J100023.44+021520.2 6406 24.671
511244389  150.09701538 2.29567599 F51P005 1 71 1 OK 0.733 0.350 1.492 0.788 0.0000 4 VUDS-J100023.28+021744.4 9683 24.152
511236765  150.09710693 2.34927607 F51P005 1 72 1 OK 2.302 1.816 1.451 0.670 2.4662 4 VUDS-J100023.30+022057.3 14176 22.883
511244353  150.09921265 2.29843712 F51P005 1 73 1 OK 1.278 1.478 1.717 0.901 2.3826 1 VUDS-J100023.81+021754.3 9908 23.291
511236728  150.09892273 2.34693599 F51P005 1 74 1 OK 0.719 0.899 1.020 0.620 2.5512 2 VUDS-J100023.74+022048.9 13963 24.667
511001667  150.10108948 2.24172902 F51P005 1 75 1 OK 4.221 2.946 1.155 0.758 2.6457 4 VUDS-J100024.26+021430.2 5332 24.221
511240251  150.10055542 2.33141708 F51P005 1 76 1 OK 0.798 0.896 1.544 0.830 3.0700 1 VUDS-J100024.13+021953.1 12689 24.811
511002524  150.10527039 2.23548508 F51P005 1 80 1 OK 0.362 0.933 1.560 0.746 2.4872 1 VUDS-J100025.26+021407.7 4774 24.745
511245286  150.10998535 2.29870391 F51P005 1 85 1 OK 0.836 0.998 1.643 0.778 2.5792 4 VUDS-J100026.39+021755.3 9909 24.910
510996058  150.11190796 2.27760792 F51P005 1 87 1 OK 2.344 2.111 1.559 0.787 2.4918 4 VUDS-J100026.85+021639.3 8178 24.787
511001501  150.11526489 2.24191689 F51P005 1 89 1 OK 7.711 1.781 1.814 0.906 2.2203 4 VUDS-J100027.66+021430.9 5351 24.104
511245269  150.11506653 2.29954195 F51P005 1 90 1 OK 2.225 1.549 1.665 0.867 2.4920 3 VUDS-J100027.61+021758.3 10034 24.782
511002072  150.11764526 2.23830199 F51P005 1 91 1 OK -0.446 0.000 1.989 1.107 2.1300 1 VUDS-J100028.23+021417.8 5046 24.861
511221811  150.11694336 2.29333305 F51P005 1 92 1 OK 2.261 1.511 1.117 0.696 1.8190 1 VUDS-J100028.06+021735.9 9480 24.470
511221812  150.11810303 2.29329395 F51P005 1 92 2 OK 21.791 7.126 1.117 0.696 0.2821 24 VUDS-J100028.34+021735.8 9632 21.651
511234877  150.11732483 2.34794497 F51P005 1 93 1 OK 0.246 0.435 2.174 1.039 5.9409 9 VUDS-J100028.15+022052.6 14014 23.452
510995442  150.11947632 2.28459501 F51P005 1 94 1 OK 2.280 1.637 1.131 0.723 2.5355 2 VUDS-J100028.67+021704.5 8769 24.533
510994681  150.12086487 2.28792095 F51P005 1 96 1 OK 1.216 0.702 1.599 0.684 3.2700 2 VUDS-J100029.00+021716.5 9054 24.934
510342600  150.12072754 2.34443307 F51P005 1 97 1 OK 0.680 1.021 2.533 1.203 2.1200 1 VUDS-J100028.97+022039.9 13808 24.493
511245108  150.12228394 2.29984307 F51P005 1 99 1 OK 1.342 1.166 1.308 0.744 2.1235 2 VUDS-J100029.34+021759.4 10125 24.488
511234902  150.12252808 2.34715796 F51P005 1 100 1 OK 1.247 1.085 1.433 0.729 2.4325 2 VUDS-J100029.40+022049.7 14088 23.712
511001840  150.12495422 2.23696899 F51P005 1 101 1 OK 4.222 2.197 1.502 0.681 1.8308 31 VUDS-J100029.98+021413.0 4972 23.785
511237677  150.12420654 2.34890389 F51P005 1 103 1 OK 0.509 0.715 2.175 1.145 2.0512 1 VUDS-J100029.81+022056.0 14132 24.609
511240238  150.12625122 2.33113408 F51P005 1 104 1 OK 0.892 1.305 1.826 0.984 2.9997 2 VUDS-J100030.30+021952.0 12682 24.717
510994894  150.1277771 2.28659296 F51P005 1 105 1 OK 0.778 0.760 1.643 0.751 3.3400 1 VUDS-J100030.66+021711.7 8943 24.778
511238326  150.12768555 2.34440303 F51P005 1 106 1 OK 0.777 1.161 2.143 1.049 3.5284 1 VUDS-J100030.64+022039.8 13804 24.958
511245062  150.12980652 2.30009294 F51P005 1 107 1 OK 1.349 1.096 1.102 0.473 2.4615 2 VUDS-J100031.15+021800.3 10059 24.857
