# Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec
# by R. F. Quadri and R. J. Williams on Tue Aug 21 22:40:39 2012
# note PapID=KeckID-1
# DR1 from Williams+08
# DR8 from Quadri+12
#
# generated by Vy on 11Sept2014
 Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec   
37522 38013   67240    5167.4980    6150.9960   34.602992   -5.193718      9       0.3341       0.0465       0.5440       0.0136       0.6109       0.0161       0.7722       0.0188       1.1628       0.0211       1.5193       0.0623       4.8410       0.1382       6.6703       0.2802       9.0234       0.1901      14.1554       0.5049      12.8516       0.3059      13.8090       0.4334      12.3907       2.4614       4.8412       3.3612       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9883       0.9848       0.9851       1.8000       3.8548      0      0       0.7054       0.2710      61.3700      1.027         0.03      0      0           0           0  -99.000
37547 38038   67397    5900.5740    6173.8970   34.561688   -5.192441      9       0.4147       0.0464       0.6345       0.0123       0.7489       0.0161       0.7628       0.0184       0.8688       0.0202       0.9957       0.0602       1.8102       0.1358       2.1358       0.2737       2.1460       0.1793       3.3573       0.3851       2.6315       0.2777       2.2637       0.3346       0.2426       2.5937       1.2616       2.7018       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9852       0.9906       1.8000       3.1886      1      0       0.6302       0.2750     -50.8900      1.055         0.94      0      0           2           2  -99.000
37612 38103   67438    5034.4330    6173.7160   34.610488   -5.192441      9       0.2221       0.0569       0.3746       0.0136       0.4561       0.0158       0.4775       0.0190       0.7498       0.0212       1.0001       0.0627       2.9299       0.1382       4.3646       0.2796       5.4030       0.1905       7.6040       0.4155       7.4541       0.3363       8.1228       0.5457      -0.1279       2.8628      11.2196       4.1332       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9824       0.9880       0.9838       1.8000       3.2398      0      0       0.6306       0.2530     -48.4500      1.052         0.05      0      0           0           0  -99.000
37667 38158   67562    5293.1270    6188.6250   34.595913   -5.191608      9      -0.0308       0.0422       0.0777       0.0160       0.2853       0.0188       0.7225       0.0213       0.9250       0.0241       0.9969       0.0677       1.1189       0.1444       2.2400       0.2887       3.8715       0.1921      10.7545       0.9771       2.4276       0.2755       3.2855       0.4020       0.1213       2.1283       2.3467       3.0017       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9872       0.9811       0.9825       1.8000       6.6112      0      0       1.2690       0.2700     -60.9600      1.001         0.02      0      0           0           0  -99.000
37825 38317   67814    5099.1670    6202.5950   34.606841   -5.190821      9       2.1544       0.0518       2.3757       0.0141       2.7219       0.0159       2.6507       0.0190       2.5662       0.0208       2.8467       0.0608       6.9709       0.1389       6.6502       0.2838       7.5835       0.1914      11.1886       0.4910       9.6756       0.3081      10.5347       0.4986       6.2593       2.7018      14.4617       3.9170       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9865       0.9869       0.9837       1.8000       3.7382      1      0       0.6644       0.2710     -67.6700      1.031         0.04      0      0           2           2  -99.000
37878 38370   67868    5342.3270    6205.5420   34.593141   -5.190659      9       0.5110       0.0445       0.5529       0.0168       0.6944       0.0190       0.6783       0.0225       0.9574       0.0249       1.2579       0.0698       5.9820       0.1467       7.9989       0.2854      11.1643       0.1920      17.2512       0.5220      17.7719       0.3211      19.3312       0.4289      16.8128       2.3776      17.3863       3.2311       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9867       0.9765       0.9799       1.8000       3.9060      0      0       0.7046       0.0420     -28.1800      1.026         0.03      0      0           0           0  -99.000
37971 38463   68078    5646.2070    6196.8850   34.576020   -5.191149      9       0.5007       0.0432       1.1874       0.0133       3.2647       0.0170       8.3627       0.0220      16.7772       0.0226      26.4730       0.0712      42.0515       0.1391      60.7391       0.2793      78.7707       0.1830     120.5515       0.5851      68.1912       0.3601      42.7182       0.3795      37.6728       2.9775      11.8548       2.9179       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9988       0.9947       0.9911       1.8000       4.5256      0      0       0.6755       0.2800      35.1100      1.013         0.64      0      0           0           0  -99.000
38015 38507   68129    4949.1040    6245.3750   34.615295   -5.188419      9       0.4991       0.0621       0.4654       0.0145       0.4707       0.0153       0.5181       0.0192       0.5942       0.0205       0.7004       0.0536       2.2717       0.1352       2.7037       0.2811       2.8752       0.1838       3.3750       0.3632       4.1761       0.4165       3.2743       0.6355     -12.2341       3.6568       1.6608       4.5302       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9856       0.9908       0.9840       1.8000       2.9507      0      0       0.4521       0.0680      25.1500      1.071         0.96      0      0           0           0  -99.000
38080 38572   68187    5042.7750    6240.4660   34.610017   -5.188696      9       1.0237       0.0575       0.7607       0.0150       0.7898       0.0158       0.9630       0.0211       1.1743       0.0216       1.5392       0.0584       6.0052       0.1391       8.4620       0.2842       8.5095       0.1885      12.0075       0.4656      12.0337       0.3276      13.9325       0.5480      14.5742       3.0304      14.6095       4.2324       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9889       0.9909       0.9880       1.8000       3.6153      0      0       0.6286       0.0770     -12.6700      1.035         0.06      0      0           0           0  -99.000
38442 38938   68900    5194.9880    6298.3100   34.601441   -5.185452      9       0.5394       0.0493       0.7692       0.0168       0.8481       0.0173       0.8281       0.0221       0.8719       0.0249       0.9363       0.0521       2.3978       0.1414       2.9555       0.2897       2.8270       0.1920       7.5988       0.8896       1.6661       0.2647       1.7696       0.3616      -1.6497       2.1504       2.5231       2.7481       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9882       0.9903       0.9873       1.8000       6.1241      1      0       1.2577       0.2510      66.0600      1.002         0.19      0      0           2           2  -99.000
