Nameobj,ra,dec,conf,zspec,zphoto,Av,lmass,lsfr_FAST,Ha_lsfr,fha,fha_err,fha_snr,fha_width,L_ha,fnii,fnii_err,fnii_snr,fhb,fhb_err,fhb_snr,fo3,fo3_err,fo3_snr,fo3_width,fo2,fo2_err,fo2_snr,fo2_width,ZFOURGE_AGN,BPT_AGN,zspec_K,conf_K,zspec_H,conf_H,doubles
6523b,,,1,,,,,,,0.059,0.117,0.504273504274,1.0,,0.282,0.134,2.10447761194,,,,,,,,,,,,,--,2.123377,1,,1,
6553,150.0686035,2.2797525,3,2.12501,2.0939,1.8,10.73,0.94,2.57811411885,6.256,0.209,29.9330143541,12.452,2.18916767897e+42,3.03,0.178,17.0224719101,0.974,0.087,11.1954022989,1.672,0.091,18.3736263736,8.803,,,,,,True,2.12501,3,2.125572,3,
6576,150.0733643,2.279598,1,,2.1734,0.5,9.52,0.33,,0.0,0.25,0.0,4.83,,,,,,,,,,,,,,,,,--,2.047595,1,,1,
66,150.2020569,2.1839192,1,,2.1167,1.4,10.64,0.82,,0.563,0.132,4.26515151515,2.437,,0.0,0.111,0.0,,,,,,,,,,,,,--,2.06201,1,,1,
6601,150.1908569,2.2799079,1,,2.6246,0.7,8.88,1.13,,,,,,,0.207,0.097,2.13402061856,,,,,,,,,,,,,--,2.06154,1,,1,
6853,150.1788177,2.2841399,1,,2.098,0.1,9.38,-0.23,,0.463,0.103,4.49514563107,1.0,,0.175,0.089,1.96629213483,,,,,,,,,,,,,--,2.277209,1,,1,
6869,150.0731354,2.2843585,3,2.126486,2.0378,0.2,9.46,0.8,1.19731943059,4.037,0.073,55.301369863,1.304,1.41507787028e+42,0.0,0.041,0.0,0.237,0.085,2.78823529412,0.935,0.18,5.19444444444,3.663,,,,,,False,2.126486,3,2.126606,3,
6908,150.0834198,2.2857671,3,2.063701,2.0751,1.4,10.47,0.86,2.20974381777,5.714,0.048,119.041666667,10.0,1.8609415235e+42,,,,,,,,,,,,,,,,--,2.063701,3,,1,
6917,150.0756989,2.284925,1,,2.1521,0.5,9.45,0.62,,2.958,0.502,5.89243027888,3.521,,0.0,0.099,0.0,,,,,,,,,,,,,--,2.048083,1,,1,
6920,150.0839386,2.2849648,1,,2.0168,0.3,9.12,-1.18,,,,,,,,,,,,,,,,,,,,,,--,2.045936,1,,1,
6954,150.1031189,2.2855148,3,2.128637,2.1115,0.2,9.25,-0.55,1.10422048475,3.25,0.053,61.320754717,0.0,1.14204020537e+42,0.085,0.027,3.14814814815,,,,,,,,,,,,,False,2.128637,3,,1,
